Item_ID	Sentence	Partitive	SentenceLength
53:49	and, um, she had used the walker for, for quite some time, probably about six to nine months.	no	18
363:46	that's just a matter of * defining priorities, i guess or some priorities anyway.	no	15
456:26	um, but still, it gives it some variety.	no	8
868:124	i think 0 in a good example on the typical thing that *t*-1 happens, uh, when the phone rang *t*-2 and it's t i 0 *t*-3 calling, my immediate reaction is that it's some sort of strange phone message	no	41
905:42	and you, one's feeling obligated, because of some sense of, of the way 0 the ritual is played *-1 out *t*-2.	no	22
1125:24	because anyone can be alone for some period of time	no	10
1151:16	or they're introducing some new product in the area	no	10
1179:18	i've even had some of them,	yes	7
1208:11	and then some of them are speaking in a foreign language that i don't even understand *t*-1.	yes	18
1216:20	i put a stop to some of them as far as the door to door, either religious groups, or people peddling products.	yes	22
1284:25	i wonder if there would be some way 0 we could get these people to do this get their names, their addresses, and their phone numbers and then reverse it, and do *t*-1,	no	33
1639:25	i think 0 there is still some discrimination there where as, you know, men and women work in the same job *t*-1,	no	22
1686:33	and, uh, quite honestly, i, i have some little children	no	10
1842:23	i mean i've heard some songs that, that i just thought 0 *t*-1 were horrendous cover versions of,	no	19
1939:11	i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties *t*-1.	no	29
1988:13	there are some, you know, types of heavy metal that i really like *t*-1,	no	14
2099:39	um, it takes some, it *exp*-1 takes some dedication * to do it,	no	13
2179:40	so we have, both of us have some money in an i r a that we're also trying *-1 to figure *t*-2,	no	23
2198:136	and they did an analysis *ich*-4 for us based on what we were putting *t*-1 in and the time frame that we wanted *-2 to look at *t*-3, and then gave us a good idea back, you know, some good information *ich*-6 back on whether or not we were going *-5 to achieve those goals, and, or not, and what we needed *-7 to do *t*-8 so that we could achieve them and the money 0 we could put *t*-9 in at what time.	no	84
2333:28	well, uh, maybe i am into some things *ich*-1 occasionally that i don't think of *t*-2 in terms of self improvement.	no	22
2343:22	i, uh, have attended some seminars that *t*-1 had some tapes that *t*-2 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,	no	31
2343:40	i, uh, have attended some seminars that *t*-1 had some tapes that *t*-2 went with them, but, uh, i guess not so much books although they sometimes have manuals and things,	no	31
2398:28	you could almost label everything quality in some sense or other	no	11
2451:47	and where we are *t*-1 now, what we're doing *t*-2 is some very big lawsuits that *t*-3 happen *-4 to have a heck of a lot of boxes of documents.	no	31
2579:18	well i've seen some people try *-2 to just come in like over the weekend because they want *-1 to use the texteller machine.	no	25
2719:8	and some of the patent attorneys have been real casual in their clothes	yes	13
2764:15	i've done some of the other speech programs,	yes	9
3025:20	i've known jack for some time.	no	7
3204:49	so, so then we got, we got some same things because,	no	11
3221:19	like, * give me some examples.	no	6
3292:35	that's, that's what some people call like *t*-1 really heavy metal.	no	13
3367:17	they came up with some pretty weird stuff after that.	no	10
3792:44	and, uh, there's, uh, there's some petting, you know, like, uh, uh,	no	14
3872:17	well i've gotten some good ideas from you.	no	9
4002:22	he did, well, in some of the later movies	yes	9
4453:25	so, there must be something to some of them.	yes	9
4485:45	and, uh, so it's had that orientation for quite some time.	no	12
4486:20	um, there's been some progressive medical schools *exp*-1 out here, that *t*-2 have taken that approach.	no	17
4524:8	and some of them fizzled out	yes	6
4525:8	and some of them were disastrous	yes	6
4587:51	but they, you know, they live to a hundred and ten some, you know,	no	14
4790:26	you know, i mean, some of these guys are forty years old and got ten convictions.	yes	16
4831:20	at least they might get some benefit in that,	no	9
